t,s_mm_fore,s_mm_hind,beta_deg_fore,beta_deg_hind,alpha_deg_fore,alpha_deg_hind,d_mm_fore,d_mm_hind
0.02,8.053019818083989,15.54304295321498,20.360408588538917,25.35305466270961,-20.229846635328236,-22.278356563368227,-0.7052870692406934,1.1347086585097266
0.04,11.031459581043102,17.99976398489653,20.577804446018376,29.788852546652286,-18.138683206274298,-27.1699669237286,-0.5770011666454832,1.545216156854027
0.06,13.89095940170892,19.730022336146792,20.58270977824361,33.9370177603455,-16.58694558432651,-36.45850835381417,-0.3800404241239228,1.9895286047498004
0.08,16.609520270001134,21.36075872978125,20.583686698679685,39.39238709036812,-16.81801594039678,-22.853768782735003,-0.1997181299134958,2.221489832374438
0.1,19.1276437216667,21.73680586227857,20.690210490980697,47.86272276446704,-18.986353827648244,9.804922935096242,-0.07150544142092387,2.5109536986455123
0.12,20.912564347617238,22.04581505699555,21.732194665030303,58.5523300957347,-23.57980888985328,42.46361465292746,0.096254199952515,2.5714499197981056
0.14,23.372248396934182,21.47224584484374,24.121783405429824,69.82495659235389,-31.156879333372807,75.12230637075874,0.2756533152540399,2.1320421752174283
0.16,24.628368197971984,20.55922300466468,28.15889530771551,80.72081416573951,-43.901410984655456,107.78099808858995,0.3629650895847831,1.247928645716062
0.18,25.42658895462265,19.34430306789872,33.77258514549354,93.22456279843249,-18.376660303360413,137.8622876803503,0.33729624305963934,0.6395432214946822
0.2,25.560175508336624,17.64695959142452,40.629634126542015,104.40911322371288,17.145103218402813,94.64647956358284,0.14159786265853705,0.29835516629122966
0.22,25.250787068886726,16.25853120889432,46.17276851259774,112.47483607212769,52.66686674016599,74.36053474101911,-0.24360235845434935,0.15043890131363047
0.24,24.42718017313458,14.56836440032965,51.9163554523621,112.26522490774408,88.18863026192916,66.56372340927369,-0.7925582322549722,0.0371399834238239
0.26,23.050141780483415,12.663872323801897,59.23384153850316,108.30868911837796,123.7103937836924,65.31147115702147,-1.3468244520814068,0.1634542357276167
0.28,21.095124451789314,10.370598331877218,71.30409176430113,107.8187317221907,131.94534971817362,67.28268221035087,-1.6354166209586865,0.3785092097265384
0.3,19.248851325993048,8.217436768177313,83.18297465464508,107.56424811813014,97.20402248102285,71.41686798049832,-1.6220395019588238,0.5128630997615851
0.32,17.570812155940843,6.155542091043432,89.71928299190824,107.16743192114438,72.72405379339159,75.44275917871535,-1.3271759012776592,0.5179161145809132
0.34,15.806378451091657,4.028422399777013,92.24174570303516,103.4323536883684,63.34016631627953,79.44173991127268,-0.6766132563045578,0.5409056159344735
0.36,13.942089957800455,1.7698016414853124,93.58580972117278,101.61903785390524,62.37582027380845,81.70994857984437,0.1506731910036585,0.5262991305841282
0.38,11.880405345039081,-0.4212955570185711,94.73991453924832,99.88129548282313,65.84244994339947,83.95406412395988,0.9233907175281849,0.38380222920841056
0.4,9.745254467732634,-2.143438259996963,96.14656761812512,97.27035340371911,72.07925315285893,83.77152317066759,1.4840256986654288,0.02483163526440269
0.42,7.739592228886779,-3.9508143831377978,97.27951145250096,94.59700129186838,76.89632306553987,83.3194552726538,1.733192645793045,0.1316143620224602
0.44,5.757193714257152,-5.822029685868177,98.258101872069,93.32144294752072,81.12756602725152,81.46091491641285,1.7375919946625942,0.18647681872755908
0.46,3.4958148638122806,-7.551735060275949,99.03743923971108,92.33044106913346,84.19390410534926,78.98393243943033,1.7001393795295032,0.6185340306738318
0.48,1.1443267571229718,-9.222816844677284,99.99547473913074,91.59024435254034,86.96989298485377,78.4222396984182,1.5916571051223631,0.9375265420864984
0.5,-1.1698780864074179,-10.599134936388865,100.27909934055192,89.14147843581493,91.16565385329751,81.12283864901707,1.2585171287229766,1.1953951943007142
0.52,-3.1707598469212774,-11.949267498976306,99.34031924221188,88.68563758066682,95.53141609991918,84.87714832586643,0.7909604839900436,1.3279108711934202
0.54,-4.959092070697535,-13.059315311635036,97.12304007544243,88.16491582772778,96.87174248856233,92.84015624396416,0.2914064584702053,1.4135118872802965
0.56,-6.6903622687045985,-14.341370493176036,94.51669990351422,88.4561044999515,97.67340030025156,98.8382015081706,-0.2234947530516891,1.2670820577548554
0.58,-8.518374123343873,-15.310392700101527,93.83275469847109,89.74222961950692,92.64727065498134,102.99503551794164,-0.6304403806985225,1.089928256232126
0.6,-10.246210351552081,-16.377268966545444,92.31307312417843,89.5836035999888,87.86200096395068,101.86591036103869,-0.7446239705523378,0.905289548090408
0.62,-12.165557841340243,-17.270965762913693,93.89925539342445,87.68480668892519,84.24592444439313,100.73678520413574,-0.5873786524831663,0.7678768725050334
0.64,-13.72647040038728,-17.51904821395284,92.54417180789123,83.930034655145,83.45189066982306,101.51316144117224,-0.36045780192874965,0.6014831650660525
0.66,-14.920815023121275,-17.430371191573787,87.98823965764286,76.46838220564292,87.68163014956258,102.45731988533068,-0.2878661161695473,0.3371842795932566
